"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25 de ago. de 2022","5,1105","5,0950","5,1283","5,0745","95,90K","0,36%"
"24 de ago. de 2022","5,0922","5,0902","5,1036","5,0480","196,00K","0,10%"
"23 de ago. de 2022","5,0869","5,1287","5,1323","5,0624","214,26K","-0,78%"
"22 de ago. de 2022","5,1270","5,1918","5,1957","5,1157","211,03K","-1,16%"
"19 de ago. de 2022","5,1873","5,2160","5,2445","5,1844","209,42K","-0,49%"
"18 de ago. de 2022","5,2129","5,2593","5,2681","5,2092","227,42K","-0,84%"
"17 de ago. de 2022","5,2572","5,2354","5,2952","5,2219","259,08K","0,45%"
"16 de ago. de 2022","5,2334","5,1813","5,2466","5,1606","212,03K","1,08%"
"15 de ago. de 2022","5,1776","5,2039","5,2432","5,1646","195,15K","-0,51%"
"12 de ago. de 2022","5,2044","5,3227","5,3287","5,1964","235,13K","-2,20%"
"11 de ago. de 2022","5,3216","5,2460","5,3362","5,2337","251,54K","1,48%"
"10 de ago. de 2022","5,2440","5,2346","5,2815","5,2052","236,83K","0,23%"
"09 de ago. de 2022","5,2318","5,2141","5,2688","5,2076","202,70K","0,39%"
"08 de ago. de 2022","5,2114","5,2572","5,2762","5,2024","198,39K","-0,87%"
"05 de ago. de 2022","5,2569","5,3428","5,3640","5,2483","242,79K","-1,60%"
"04 de ago. de 2022","5,3423","5,3709","5,3898","5,3184","244,89K","-0,50%"
"03 de ago. de 2022","5,3693","5,3677","5,3886","5,3375","219,36K","0,06%"
"02 de ago. de 2022","5,3660","5,3211","5,3756","5,2969","291,15K","0,88%"
"01 de ago. de 2022","5,3191","5,2898","5,3380","5,2464","249,81K","0,62%"
"29 de jul. de 2022","5,2862","5,2863","5,3277","5,2382","247,00K","0,06%"
"28 de jul. de 2022","5,2828","5,3478","5,3677","5,2537","271,70K","-1,24%"
"27 de jul. de 2022","5,3491","5,4143","5,4440","5,3398","252,36K","-1,16%"
"26 de jul. de 2022","5,4121","5,4771","5,4924","5,4015","251,51K","-1,12%"
"25 de jul. de 2022","5,4735","5,6153","5,6409","5,4742","209,14K","-2,47%"
"22 de jul. de 2022","5,6122","5,6232","5,6266","5,5419","240,85K","-0,18%"
"21 de jul. de 2022","5,6221","5,5699","5,6284","5,5598","265,91K","0,97%"
"20 de jul. de 2022","5,5682","5,5368","5,5721","5,5082","259,02K","0,65%"
"19 de jul. de 2022","5,5325","5,5153","5,5847","5,4917","236,46K","0,32%"
"18 de jul. de 2022","5,5147","5,4555","5,5183","5,4330","219,55K","1,07%"
"15 de jul. de 2022","5,4562","5,4337","5,4762","5,4193","239,37K","0,45%"
"14 de jul. de 2022","5,4320","5,4260","5,4796","5,3956","251,85K","0,15%"
"13 de jul. de 2022","5,4241","5,4586","5,4789","5,4049","240,90K","-0,60%"
"12 de jul. de 2022","5,4569","5,4007","5,4668","5,3783","248,47K","1,07%"
"11 de jul. de 2022","5,3992","5,3463","5,4091","5,2982","215,16K","0,89%"
"08 de jul. de 2022","5,3514","5,4251","5,4493","5,3469","229,51K","-1,34%"
"07 de jul. de 2022","5,4240","5,5284","5,5504","5,4146","212,88K","-1,86%"
"06 de jul. de 2022","5,5266","5,5317","5,5560","5,4837","267,51K","-0,05%"
"05 de jul. de 2022","5,5294","5,5553","5,5694","5,4793","242,21K","-0,39%"
"04 de jul. de 2022","5,5512","5,5568","5,5778","5,5107","159,67K","-0,12%"
"01 de jul. de 2022","5,5581","5,5111","5,5659","5,4802","231,72K","0,88%"
"30 de jun. de 2022","5,5095","5,4113","5,5142","5,3806","235,96K","1,85%"
"29 de jun. de 2022","5,4093","5,5417","5,5542","5,4037","262,61K","-2,37%"
"28 de jun. de 2022","5,5404","5,5443","5,5577","5,4626","263,33K","-0,03%"
"27 de jun. de 2022","5,5419","5,5339","5,5722","5,5138","214,78K","0,18%"
"24 de jun. de 2022","5,5321","5,5182","5,5609","5,4756","234,90K","0,31%"
"23 de jun. de 2022","5,5152","5,4887","5,5219","5,4295","276,96K","0,50%"
"22 de jun. de 2022","5,4875","5,3973","5,4917","5,3656","237,19K","1,72%"
"21 de jun. de 2022","5,3948","5,4557","5,4917","5,3964","242,77K","-1,05%"
"20 de jun. de 2022","5,4521","5,3966","5,4624","5,3966","188,09K","0,78%"
"17 de jun. de 2022","5,4098","5,3314","5,4126","5,2981","251,90K","1,49%"
"16 de jun. de 2022","5,3304","5,2785","5,3583","5,2460","139,48K","1,01%"
"15 de jun. de 2022","5,2772","5,3309","5,3776","5,2466","310,19K","-0,97%"
"14 de jun. de 2022","5,3290","5,3263","5,3695","5,3179","276,28K","0,10%"
"13 de jun. de 2022","5,3235","5,2452","5,3565","5,2108","241,23K","1,53%"
"10 de jun. de 2022","5,2433","5,2105","5,2755","5,1632","219,09K","0,69%"
"09 de jun. de 2022","5,2075","5,2509","5,2670","5,1878","197,49K","-0,78%"
"08 de jun. de 2022","5,2486","5,2123","5,2634","5,1981","221,67K","0,74%"
"07 de jun. de 2022","5,2100","5,1291","5,2687","5,1073","226,16K","1,61%"
"06 de jun. de 2022","5,1272","5,1214","5,1431","5,0918","174,50K","0,24%"
"03 de jun. de 2022","5,1148","5,1568","5,1747","5,1141","182,36K","-0,75%"
"02 de jun. de 2022","5,1537","5,1284","5,1606","5,1090","184,64K","0,51%"
"01 de jun. de 2022","5,1275","5,0809","5,1324","5,0592","213,16K","0,98%"
"31 de mai. de 2022","5,0776","5,1241","5,1252","5,0321","208,29K","-0,86%"
"30 de mai. de 2022","5,1219","5,0795","5,1280","5,0439","152,27K","0,96%"
"27 de mai. de 2022","5,0733","5,1163","5,1351","5,0503","218,96K","-0,77%"
"26 de mai. de 2022","5,1129","5,1551","5,1832","5,0921","210,79K","-0,83%"
"25 de mai. de 2022","5,1558","5,1748","5,1870","5,1349","229,42K","-0,33%"
"24 de mai. de 2022","5,1728","5,1480","5,2120","5,1183","242,48K","0,57%"
"23 de mai. de 2022","5,1434","5,1588","5,2157","5,1044","186,92K","-0,17%"
"20 de mai. de 2022","5,1520","5,2208","5,2271","5,1223","235,44K","-1,33%"
"19 de mai. de 2022","5,2212","5,2016","5,2373","5,1361","217,83K","0,41%"
"18 de mai. de 2022","5,1997","5,2102","5,2408","5,1772","181,45K","-0,17%"
"17 de mai. de 2022","5,2088","5,2804","5,3425","5,1961","176,94K","-1,31%"
"16 de mai. de 2022","5,2780","5,2660","5,3229","5,2405","164,95K","0,19%"
"13 de mai. de 2022","5,2682","5,3289","5,3506","5,2491","163,13K","-1,13%"
"12 de mai. de 2022","5,3285","5,4008","5,4231","5,3088","243,82K","-1,32%"
"11 de mai. de 2022","5,3998","5,4040","5,4405","5,3698","233,74K","-0,03%"
"10 de mai. de 2022","5,4015","5,4497","5,4648","5,3833","203,53K","-0,86%"
"09 de mai. de 2022","5,4482","5,3592","5,4527","5,3295","199,18K","1,66%"
"06 de mai. de 2022","5,3591","5,3021","5,4062","5,2716","243,43K","1,12%"
"05 de mai. de 2022","5,2995","5,2265","5,3159","5,1856","233,30K","1,42%"
"04 de mai. de 2022","5,2253","5,2157","5,3039","5,1929","193,80K","0,10%"
"03 de mai. de 2022","5,2201","5,3452","5,3611","5,2172","179,22K","-2,34%"
"02 de mai. de 2022","5,3452","5,2390","5,3493","5,2242","176,56K","1,99%"
"29 de abr. de 2022","5,2411","5,1882","5,2534","5,1137","206,21K","1,04%"
"28 de abr. de 2022","5,1874","5,2397","5,2946","5,1817","204,93K","-1,02%"
"27 de abr. de 2022","5,2407","5,3184","5,3300","5,2094","245,27K","-1,42%"
"26 de abr. de 2022","5,3163","5,2260","5,3253","5,2048","199,19K","1,78%"
"25 de abr. de 2022","5,2233","5,1985","5,2979","5,1337","220,03K","0,95%"
"22 de abr. de 2022","5,1743","5,0099","5,2206","4,9877","161,84K","3,31%"
"21 de abr. de 2022","5,0084","5,0167","5,0555","5,0030","85,70K","-0,14%"
"20 de abr. de 2022","5,0152","5,0340","5,0711","4,9997","161,76K","-0,38%"
"19 de abr. de 2022","5,0344","5,0184","5,0557","5,0075","159,97K","0,37%"
"18 de abr. de 2022","5,0156","5,0766","5,0872","5,0068","94,58K","-1,17%"
"15 de abr. de 2022","5,0750","5,0900","5,0936","5,0733","40,00K","-0,26%"
"14 de abr. de 2022","5,0884","5,1077","5,1445","5,0714","166,52K","-0,33%"
"13 de abr. de 2022","5,1050","5,0613","5,1120","5,0349","152,31K","0,90%"
"12 de abr. de 2022","5,0595","5,1098","5,1129","5,0316","144,65K","-0,97%"
"11 de abr. de 2022","5,1089","5,1356","5,1651","5,0957","151,23K","0,01%"
"08 de abr. de 2022","5,1085","5,1707","5,1973","5,1045","138,89K","-1,18%"
"07 de abr. de 2022","5,1697","5,1387","5,2039","5,1223","152,38K","0,62%"
"06 de abr. de 2022","5,1377","5,0737","5,1512","5,0589","152,78K","1,33%"
"05 de abr. de 2022","5,0705","5,0402","5,1100","5,0232","138,81K","0,64%"
"04 de abr. de 2022","5,0383","5,1427","5,1505","5,0342","131,69K","-2,13%"
"01 de abr. de 2022","5,1479","5,2452","5,2499","5,1389","179,56K","-1,82%"
"31 de mar. de 2022","5,2432","5,3224","5,3365","5,2357","158,00K","-1,45%"
"30 de mar. de 2022","5,3202","5,2748","5,3459","5,2568","158,22K","0,91%"
"29 de mar. de 2022","5,2721","5,2352","5,3155","5,2277","183,92K","0,73%"
"28 de mar. de 2022","5,2337","5,2123","5,2888","5,1895","145,16K","0,51%"
"25 de mar. de 2022","5,2072","5,3083","5,3286","5,1944","139,73K","-1,85%"
"24 de mar. de 2022","5,3054","5,3116","5,3413","5,2352","157,28K","-0,09%"
"23 de mar. de 2022","5,3103","5,4159","5,4237","5,3078","139,24K","-1,92%"
"22 de mar. de 2022","5,4141","5,4390","5,4612","5,4040","146,22K","-0,40%"
"21 de mar. de 2022","5,4358","5,5566","5,5619","5,4345","150,07K","-2,06%"
"18 de mar. de 2022","5,5500","5,5906","5,6048","5,5191","139,47K","-0,67%"
"17 de mar. de 2022","5,5877","5,6024","5,6553","5,5772","158,30K","-0,21%"
"16 de mar. de 2022","5,5995","5,6578","5,6890","5,5971","189,78K","-0,97%"
"15 de mar. de 2022","5,6541","5,6019","5,6589","5,5984","154,10K","0,97%"
"14 de mar. de 2022","5,6000","5,5535","5,6359","5,5184","155,65K","1,16%"
"11 de mar. de 2022","5,5358","5,5047","5,5450","5,4869","164,32K","0,59%"
"10 de mar. de 2022","5,5036","5,5517","5,6083","5,5039","170,94K","-0,86%"
"09 de mar. de 2022","5,5511","5,5173","5,5630","5,5008","188,29K","0,66%"
"08 de mar. de 2022","5,5148","5,5485","5,5835","5,5080","217,31K","-0,58%"
"07 de mar. de 2022","5,5470","5,5449","5,5560","5,4703","199,80K","0,29%"
"04 de mar. de 2022","5,5307","5,5697","5,5701","5,5148","185,05K","-0,66%"
"03 de mar. de 2022","5,5674","5,6702","5,6735","5,5516","175,91K","-1,83%"
"02 de mar. de 2022","5,6712","5,7421","5,7801","5,6576","122,36K","-1,20%"
"01 de mar. de 2022","5,7399","5,7887","5,7969","5,7228","89,11K","-0,85%"
