"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25 de ago. de 2022","5,1250","5,0950","5,1283","5,0745","84,81K","0,64%"
"24 de ago. de 2022","5,0922","5,0902","5,1036","5,0480","196,00K","0,10%"
"23 de ago. de 2022","5,0869","5,1287","5,1323","5,0624","214,26K","-0,78%"
"22 de ago. de 2022","5,1270","5,1918","5,1957","5,1157","211,03K","-1,16%"
"19 de ago. de 2022","5,1873","5,2160","5,2445","5,1844","209,42K","-0,49%"
"18 de ago. de 2022","5,2129","5,2593","5,2681","5,2092","227,42K","-0,84%"
"17 de ago. de 2022","5,2572","5,2354","5,2952","5,2219","259,08K","0,45%"
"16 de ago. de 2022","5,2334","5,1813","5,2466","5,1606","212,03K","1,08%"
"15 de ago. de 2022","5,1776","5,2039","5,2432","5,1646","195,15K","-0,51%"
"12 de ago. de 2022","5,2044","5,3227","5,3287","5,1964","235,13K","-2,20%"
"11 de ago. de 2022","5,3216","5,2460","5,3362","5,2337","251,54K","1,48%"
"10 de ago. de 2022","5,2440","5,2346","5,2815","5,2052","236,83K","0,23%"
"09 de ago. de 2022","5,2318","5,2141","5,2688","5,2076","202,70K","0,39%"
"08 de ago. de 2022","5,2114","5,2572","5,2762","5,2024","198,39K","-0,87%"
"05 de ago. de 2022","5,2569","5,3428","5,3640","5,2483","242,79K","-1,60%"
"04 de ago. de 2022","5,3423","5,3709","5,3898","5,3184","244,89K","-0,50%"
"03 de ago. de 2022","5,3693","5,3677","5,3886","5,3375","219,36K","0,06%"
"02 de ago. de 2022","5,3660","5,3211","5,3756","5,2969","291,15K","0,88%"
"01 de ago. de 2022","5,3191","5,2898","5,3380","5,2464","249,81K","0,62%"
"29 de jul. de 2022","5,2862","5,2863","5,3277","5,2382","247,00K","0,06%"
"28 de jul. de 2022","5,2828","5,3478","5,3677","5,2537","271,70K","-1,24%"
"27 de jul. de 2022","5,3491","5,4143","5,4440","5,3398","252,36K","-1,16%"
"26 de jul. de 2022","5,4121","5,4771","5,4924","5,4015","251,51K","-1,12%"
"25 de jul. de 2022","5,4735","5,6153","5,6409","5,4742","209,14K","-2,47%"
